dac_trung,he_so_chuan_hoa,odds_ratio
close_to_ma_50,1.1552223281266576,3.174729170659465
ma_20_to_ma_50,-0.8357329153349434,0.4335566046747128
close_to_ma_20,-0.8096493414181752,0.44501408687494776
rsi_14,0.2059449755118676,1.2286855943393316
excess_return_20d,-0.13737116274919037,0.8716466433204239
rank_rsi_14,0.13142907201168177,1.1404570145318054
rank_return_20d,0.12898490543790053,1.1376729513611108
beta_60d,0.10293561732049748,1.1084200437262564
market_close_to_ma_50,-0.09417233822424474,0.9101258992430953
market_volatility_20d,0.08993363683283206,1.0941016732436668
market_return_20d,0.0878014910920587,1.0917713741725106
rank_volatility_20d,-0.07160446979177809,0.9308990216878359
return_5d,-0.055669414275819465,0.9458517693036
return_20d,-0.05510103578769186,0.9463895239118283
volatility_20d,0.045614319625752894,1.0466706527720635
volume_to_ma_20,-0.03557370680908445,0.9650516007344292
excess_return_5d,-0.02898730268848359,0.9714287989223733
rank_volume_to_ma_20,0.02891839203183557,1.0293405886534162
return_1d,-0.02607757946442598,0.9742595041463038
rank_close_to_ma_20,5.926129286081992e-05,1.0000592630488458
