evaluation_stage,year,top_n,observations,mean_precision_at_n,median_precision_at_n,mean_market_prevalence,mean_lift_at_n,share_days_lift_above_1,aggregate_lift_at_n
final_test,2025,2,229,0.45414847161572053,0.5,0.4161761913802924,1.0817098294718381,0.5764192139737991,1.0912408759124088
final_test,2025,3,229,0.44832605531295483,0.3333333333333333,0.4161761913802924,1.0789004582672705,0.49344978165938863,1.077250608272506
final_test,2025,5,229,0.45414847161572053,0.4,0.4161761913802924,1.100953643639233,0.611353711790393,1.0912408759124088
final_test,2025,8,229,0.42903930131004364,0.375,0.4161761913802924,1.0388941859329415,0.5283842794759825,1.0309078467153283
final_test,2025,10,229,0.41834061135371176,0.4,0.4161761913802924,1.010360487401972,0.5327510917030568,1.0052007299270072
walk_forward_validation,2021,2,230,0.45217391304347826,0.5,0.4383742911153119,1.0525942113442113,0.5565217391304348,1.0314790858128504
walk_forward_validation,2021,3,230,0.4652173913043478,0.3333333333333333,0.4383742911153119,1.085094535094535,0.5304347826086957,1.061233290211298
walk_forward_validation,2021,5,230,0.4782608695652174,0.4,0.4383742911153119,1.115837717837718,0.5521739130434783,1.0909874946097455
walk_forward_validation,2021,8,230,0.45652173913043476,0.5,0.4383742911153119,1.0558209151959153,0.5173913043478261,1.0413971539456661
walk_forward_validation,2021,10,230,0.45,0.45,0.4383742911153119,1.0434616494616495,0.508695652173913,1.0265200517464426
walk_forward_validation,2022,2,229,0.46943231441048033,0.5,0.5238276058477311,0.8493645767379324,0.42358078602620086,0.8961580282711127
walk_forward_validation,2022,3,229,0.4963609898107714,0.3333333333333333,0.5238276058477311,0.9202332246487073,0.462882096069869,0.947565543071161
walk_forward_validation,2022,5,229,0.48995633187772925,0.4,0.5238276058477311,0.9194520978913681,0.4410480349344978,0.9353388909025009
walk_forward_validation,2022,8,229,0.4890829694323144,0.5,0.5238276058477311,0.9229514790641923,0.4410480349344978,0.933671620152229
walk_forward_validation,2022,10,229,0.4890829694323144,0.5,0.5238276058477311,0.9300513883602963,0.45414847161572053,0.933671620152229
walk_forward_validation,2023,2,229,0.5524017467248908,0.5,0.4607936206569204,1.2253768429532623,0.6550218340611353,1.1988051091882983
walk_forward_validation,2023,3,229,0.5400291120815138,0.6666666666666666,0.4607936206569204,1.2020919824959126,0.5720524017467249,1.1719544018678754
walk_forward_validation,2023,5,229,0.5406113537117904,0.6,0.4607936206569204,1.1984657712496138,0.6768558951965066,1.173217964565307
walk_forward_validation,2023,8,229,0.519650655021834,0.5,0.4607936206569204,1.1423325438813976,0.6812227074235808,1.1277297074577668
walk_forward_validation,2023,10,229,0.5104803493449782,0.5,0.4607936206569204,1.1216956187916887,0.6375545851528385,1.107828594973218
walk_forward_validation,2024,2,230,0.4434782608695652,0.5,0.4657844990548204,0.9412910006660007,0.4826086956521739,0.9521103896103896
walk_forward_validation,2024,3,230,0.45217391304347826,0.3333333333333333,0.4657844990548204,0.9669672457172457,0.45217391304347826,0.9707792207792209
walk_forward_validation,2024,5,230,0.4747826086956522,0.4,0.4657844990548204,1.0160999833499833,0.5304347826086957,1.019318181818182
walk_forward_validation,2024,8,230,0.48097826086956524,0.5,0.4657844990548204,1.0337687486124987,0.5521739130434783,1.0326197240259742
walk_forward_validation,2024,10,230,0.48478260869565215,0.5,0.4657844990548204,1.043602813852814,0.5652173913043478,1.0407873376623378
combined_oos_descriptive,2021-2025_combined,2,1147,0.4742807323452485,0.5,0.46097570220992384,1.0300095334094883,0.5387968613775065,1.0288627579968752
combined_oos_descriptive,2021-2025_combined,3,1147,0.4803836094158675,0.3333333333333333,0.46097570220992384,1.0506145483574825,0.5021795989537925,1.0421018008387468
combined_oos_descriptive,2021-2025_combined,5,1147,0.48753269398430693,0.4,0.46097570220992384,1.070154531560454,0.5623365300784655,1.057610393882082
combined_oos_descriptive,2021-2025_combined,8,1147,0.47504359197907586,0.5,0.46097570220992384,1.038764108551978,0.5440278988666085,1.030517638352109
combined_oos_descriptive,2021-2025_combined,10,1147,0.4705318221447254,0.5,0.46097570220992384,1.0298582762120163,0.5396687009590235,1.020730203108297
