evaluation_stage,year,top_n,round_trip_cost_rate,observations,gross_final_return,net_final_return,vnindex_final_return,equal_weight_30_final_return,excess_vs_vnindex,excess_vs_equal_weight_30,sharpe_annualized,max_drawdown,max_drawdown_method,positive_period_rate
final_test,2025,2,0.0,11,0.5777544883948309,0.5777544883948309,0.3102221438740944,0.3528465646054473,0.2675323445207365,0.22490792378938362,2.0587998724851655,-0.07966307521380767,period_end_equity_curve,0.8181818181818182
final_test,2025,2,0.002,11,0.5777544883948309,0.5446859058476918,0.3102221438740944,0.3240981617034555,0.23446376197359742,0.22058774414423632,1.9672723549558677,-0.08166307521380767,period_end_equity_curve,0.8181818181818182
final_test,2025,2,0.004,11,0.5777544883948309,0.5122482841472229,0.3102221438740944,0.2959059160657216,0.20202614027312848,0.2163423680815013,1.8757448374265695,-0.08366307521380767,period_end_equity_curve,0.8181818181818182
final_test,2025,2,0.006,11,0.5777544883948309,0.48043077311463955,0.3102221438740944,0.2682601306272574,0.17020862924054514,0.21217064248738216,1.784217319897272,-0.08566307521380767,period_end_equity_curve,0.8181818181818182
final_test,2025,3,0.0,11,0.570771319807845,0.570771319807845,0.3102221438740944,0.3528465646054473,0.2605491759337506,0.21792475520239774,1.6623718338121527,-0.09642963721955655,period_end_equity_curve,0.8181818181818182
final_test,2025,3,0.002,11,0.570771319807845,0.5377900322927891,0.3102221438740944,0.3240981617034555,0.22756788841869469,0.2136918705893336,1.5902385169141342,-0.09842963721955655,period_end_equity_curve,0.8181818181818182
final_test,2025,3,0.004,11,0.570771319807845,0.5054390031250575,0.3102221438740944,0.2959059160657216,0.1952168592509631,0.20953308705933593,1.5181052000161155,-0.10042963721955656,period_end_equity_curve,0.7272727272727273
final_test,2025,3,0.006,11,0.570771319807845,0.473707380523658,0.3102221438740944,0.2682601306272574,0.1634852366495636,0.20544724989640062,1.4459718831180968,-0.10242963721955656,period_end_equity_curve,0.7272727272727273
final_test,2025,5,0.0,11,0.4654264251850504,0.4654264251850504,0.3102221438740944,0.3528465646054473,0.15520428131095598,0.11257986057960312,1.6460240450241117,-0.11853713332098958,period_end_equity_curve,0.8181818181818182
final_test,2025,5,0.002,11,0.4654264251850504,0.4344897784637256,0.3102221438740944,0.3240981617034555,0.12426763458963119,0.1103916167602701,1.5605054785868706,-0.12053713332098959,period_end_equity_curve,0.8181818181818182
final_test,2025,5,0.004,11,0.4654264251850504,0.4041476190452018,0.3102221438740944,0.2959059160657216,0.09392547517110739,0.10824170297948021,1.4749869121496295,-0.12253713332098959,period_end_equity_curve,0.8181818181818182
final_test,2025,5,0.006,11,0.4654264251850504,0.3743896522812735,0.3102221438740944,0.2682601306272574,0.06416750840717911,0.10612952165401612,1.3894683457123884,-0.12453713332098959,period_end_equity_curve,0.8181818181818182
final_test,2025,8,0.0,11,0.4788889545150674,0.4788889545150674,0.3102221438740944,0.3528465646054473,0.168666810640973,0.12604238990962013,1.5457764933548233,-0.14234723518509373,period_end_equity_curve,0.8181818181818182
final_test,2025,8,0.002,11,0.4788889545150674,0.4476672842088023,0.3102221438740944,0.3240981617034555,0.1374451403347079,0.1235691225053468,1.4687705665624318,-0.14434723518509374,period_end_equity_curve,0.8181818181818182
final_test,2025,8,0.004,11,0.4788889545150674,0.4170454804431183,0.3102221438740944,0.2959059160657216,0.10682333656902387,0.1211395643773967,1.3917646397700405,-0.14634723518509374,period_end_equity_curve,0.8181818181818182
final_test,2025,8,0.006,11,0.4788889545150674,0.3870131590132384,0.3102221438740944,0.2682601306272574,0.07679101513914399,0.11875302838598101,1.3147587129776497,-0.14834723518509374,period_end_equity_curve,0.8181818181818182
final_test,2025,10,0.0,11,0.40176500782064606,0.40176500782064606,0.3102221438740944,0.3528465646054473,0.09154286394655164,0.04891844321519878,1.4141377322998545,-0.13865003621581684,period_end_equity_curve,0.7272727272727273
final_test,2025,10,0.002,11,0.40176500782064606,0.3720409889823175,0.3102221438740944,0.3240981617034555,0.06181884510822311,0.04794282727886201,1.332621634627931,-0.14065003621581684,period_end_equity_curve,0.7272727272727273
final_test,2025,10,0.004,11,0.40176500782064606,0.3428906388874706,0.3102221438740944,0.2959059160657216,0.03266849501337621,0.046984722821749036,1.2511055369560073,-0.14265003621581684,period_end_equity_curve,0.7272727272727273
final_test,2025,10,0.006,11,0.40176500782064606,0.3143039810558872,0.3102221438740944,0.2682601306272574,0.00408183718179278,0.046043850428629796,1.169589439284084,-0.14465003621581685,period_end_equity_curve,0.7272727272727273
walk_forward_validation,2021,2,0.0,11,0.4817711518916932,0.4817711518916932,0.19272373887337713,0.15569061770407888,0.28904741301831605,0.3260805341876143,1.3459950261045244,-0.06901522418292616,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,2,0.002,11,0.4817711518916932,0.45048336057194227,0.19272373887337713,0.13081463588491515,0.25775962169856514,0.3196687246870271,1.2806883918175986,-0.07101522418292605,period_end_equity_curve,0.6363636363636364
