top_n,round_trip_cost_rate,observations,mean_period_excess_estimate,ci_95_lower,ci_95_upper,bootstrap_iterations
2,0.004,55,0.01013417749887128,-0.0058347923477640095,0.027962173907146743,5000
3,0.004,55,0.01326676388579062,-0.0003655112198513794,0.027990883259450646,5000
5,0.004,55,0.007547264288280047,-0.0024021756365864974,0.018259107068693305,5000
8,0.004,55,0.007550236210842138,-0.0006853486435226694,0.0160736767364853,5000
10,0.004,55,0.004207450439599329,-0.0029339752530487717,0.01147686316537836,5000
