top_n,round_trip_cost_rate,observations,mean_period_excess_estimate,ci_95_lower,ci_95_upper,bootstrap_iterations
3,0.004,55,0.005776072088097864,-0.00746285675820744,0.019978911788222416,5000
5,0.004,55,0.009085346381390358,-0.00196587184731023,0.02111154563528006,5000
10,0.004,55,0.006463885135833935,-0.0012682958045247175,0.014453286812374748,5000
