evaluation_stage,year,top_n,round_trip_cost_rate,observations,gross_final_return,net_final_return,vnindex_final_return,equal_weight_30_final_return,excess_vs_vnindex,excess_vs_equal_weight_30,sharpe_annualized,max_drawdown,max_drawdown_method,positive_period_rate
final_test,2025,3,0.0,11,0.5105000475764179,0.5105000475764179,0.3102221438740944,0.2994938041764179,0.20027790370232346,0.21100624339999996,1.7970612891287339,-0.13623942182416904,period_end_equity_curve,0.8181818181818182
final_test,2025,3,0.002,11,0.5105000475764179,0.47869864661523165,0.3102221438740944,0.2717813313950359,0.16847650274113724,0.20691731522019574,1.7100307576761098,-0.13823942182416904,period_end_equity_curve,0.8181818181818182
final_test,2025,3,0.004,11,0.5105000475764179,0.44750667541043265,0.3102221438740944,0.24460688848041978,0.13728453153633824,0.20289978693001287,1.6230002262234855,-0.14023942182416904,period_end_equity_curve,0.8181818181818182
final_test,2025,3,0.006,11,0.5105000475764179,0.41691360963148005,0.3102221438740944,0.21796106071443755,0.10669146575738564,0.1989525489170425,1.5359696947708612,-0.14223942182416904,period_end_equity_curve,0.8181818181818182
final_test,2025,5,0.0,11,0.4909745004312962,0.4909745004312962,0.3102221438740944,0.2994938041764179,0.1807523565572018,0.1914806962548783,1.5598598077678685,-0.15392518398456123,period_end_equity_curve,0.8181818181818182
final_test,2025,5,0.002,11,0.4909745004312962,0.45951643627770045,0.3102221438740944,0.2717813313950359,0.14929429240360603,0.18773510488266454,1.4838257354722073,-0.15592518398456123,period_end_equity_curve,0.8181818181818182
final_test,2025,5,0.004,11,0.4909745004312962,0.4286623992581906,0.3102221438740944,0.24460688848041978,0.1184402553840962,0.18405551077777083,1.4077916631765464,-0.15792518398456123,period_end_equity_curve,0.8181818181818182
final_test,2025,5,0.006,11,0.4909745004312962,0.3984019400816443,0.3102221438740944,0.21796106071443755,0.0881797962075499,0.18044087936720676,1.3317575908808852,-0.15992518398456124,period_end_equity_curve,0.8181818181818182
final_test,2025,10,0.0,11,0.4173500663093681,0.4173500663093681,0.3102221438740944,0.2994938041764179,0.10712792243527369,0.1178562621329502,1.4621028700414656,-0.14129512318686333,period_end_equity_curve,0.8181818181818182
final_test,2025,10,0.002,11,0.4173500663093681,0.38732432411307705,0.3102221438740944,0.2717813313950359,0.07710218023898263,0.11554299271804114,1.380281641347338,-0.14329512318686333,period_end_equity_curve,0.8181818181818182
final_test,2025,10,0.004,11,0.4173500663093681,0.3578775094867048,0.3102221438740944,0.24460688848041978,0.04765536561261041,0.11327062100628504,1.2984604126532107,-0.14529512318686333,period_end_equity_curve,0.8181818181818182
final_test,2025,10,0.006,11,0.4173500663093681,0.3289995644472501,0.3102221438740944,0.21796106071443755,0.01877742057315568,0.11103850373281254,1.2166391839590829,-0.14729512318686333,period_end_equity_curve,0.8181818181818182
walk_forward_validation,2021,3,0.0,11,0.6179602672446498,0.6179602672446498,0.19272373887337713,0.21324320586976842,0.4252365283712727,0.4047170613748814,1.6807966344322516,-0.07324850810229033,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,3,0.002,11,0.6179602672446498,0.5840732175030117,0.19272373887337713,0.18723744208855053,0.39134947862963454,0.39683577541446113,1.6125090924583059,-0.08078757717729212,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,3,0.004,11,0.6179602672446498,0.5508321087964365,0.19272373887337713,0.16173928516473524,0.3581083699230594,0.3890928236317013,1.5442215504843608,-0.08828057858042315,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,3,0.006,11,0.6179602672446498,0.5182258474365227,0.19272373887337713,0.13673980290024823,0.32550210856314554,0.38148604453627444,1.4759340085104153,-0.09572770026358413,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,5,0.0,11,0.5391733416655435,0.5391733416655435,0.19272373887337713,0.21324320586976842,0.3464496027921664,0.3259301357957751,1.7213985175732072,-0.056638868799514075,period_end_equity_curve,0.7272727272727273
walk_forward_validation,2021,5,0.002,11,0.5391733416655435,0.5068216743815033,0.19272373887337713,0.18723744208855053,0.31409793550812615,0.31958423229295274,1.6420690683573032,-0.058638868799513966,period_end_equity_curve,0.7272727272727273
walk_forward_validation,2021,5,0.004,11,0.5391733416655435,0.4750889866668653,0.19272373887337713,0.16173928516473524,0.28236524779348815,0.31334970150213004,1.5627396191413991,-0.06236602908667899,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,5,0.006,11,0.5391733416655435,0.4439646061776896,0.19272373887337713,0.13673980290024823,0.2512408673043125,0.3072248032774414,1.4834101699254951,-0.06997057028079245,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,10,0.0,11,0.4001246942375565,0.4001246942375565,0.19272373887337713,0.21324320586976842,0.20740095536417935,0.18688148836778806,1.9154731190732177,-0.05921010363628576,period_end_equity_curve,0.7272727272727273
walk_forward_validation,2021,10,0.002,11,0.4001246942375565,0.3704919497929091,0.19272373887337713,0.18723744208855053,0.177768210919532,0.18325450770435858,1.7982780324791088,-0.06121010363628565,period_end_equity_curve,0.7272727272727273
walk_forward_validation,2021,10,0.004,11,0.4001246942375565,0.34143027269965875,0.19272373887337713,0.16173928516473524,0.14870653382628163,0.17969098753492352,1.6810829458849998,-0.06321010363628576,period_end_equity_curve,0.7272727272727273
walk_forward_validation,2021,10,0.006,11,0.4001246942375565,0.31292974209931246,0.19272373887337713,0.13673980290024823,0.12020600322593533,0.17618993919906423,1.563887859290891,-0.06521010363628577,period_end_equity_curve,0.7272727272727273
