dac_trung,he_so_chuan_hoa,odds_ratio
close_to_ma_50,1.2142859714345693,3.367888437031288
ma_20_to_ma_50,-0.79313790426016,0.45242290580901845
close_to_ma_20,-0.7686060365402393,0.4636589416671897
excess_return_20d,-0.1733197435439822,0.8408687095153385
rank_return_20d,0.15484180678712162,1.1674732601503188
rsi_14,0.12114248878091674,1.1287857402130292
beta_60d,0.11636286634657537,1.1234034434850866
volatility_20d,0.11455073451881806,1.1213695317644006
rank_volatility_20d,-0.1120341939415373,0.8940136871259483
market_return_20d,0.10448937322304688,1.1101435965551467
market_close_to_ma_50,-0.10046889007583608,0.9044132482026814
return_20d,-0.07746737360724883,0.9254572182347527
rank_close_to_ma_20,0.06769862675539873,1.070042777616377
return_5d,-0.060714301341276394,0.9410920701141147
market_volatility_20d,0.03920759682201437,1.0399863591049419
volume_to_ma_20,-0.0344736517323801,0.9661137947759574
rank_rsi_14,0.024455551403927616,1.0247570410830973
return_1d,-0.011777195407165006,0.9882918843043
rank_volume_to_ma_20,0.0030040824937263974,1.0030085992713327
excess_return_5d,0.001165267598414013,1.0011659467864884
