metric,estimate_mean,ci_95_lower,ci_95_upper,bootstrap_iterations,block_length_sessions
top3_precision,0.43464701601164485,0.3434861717612809,0.5269286754002911,2000,20
market_prevalence,0.41782760584773115,0.384659198784887,0.4486472375166129,2000,20
top3_precision_difference,0.016819410163913674,-0.06886114802860584,0.10024998417821648,2000,20
