time,symbol,close,future_excess_return_20d,return_1d,return_5d,return_20d,close_to_ma_20,close_to_ma_50,ma_20_to_ma_50,volatility_20d,rsi_14,volume_to_ma_20,beta_60d,excess_return_5d,excess_return_20d,market_return_20d,market_volatility_20d,market_close_to_ma_50,rank_return_20d,rank_rsi_14,rank_volatility_20d,rank_close_to_ma_20,rank_volume_to_ma_20,target_outperform_20d
2020-04-03,BID,17.91,-0.05926481780359305,0.06861575178997614,0.029902242668200074,-0.2647783251231527,-0.022513303315595423,-0.22577465762899418,-0.20794283441693173,0.044944380940393054,40.89864023757358,0.08152737375410979,1.431047393591067,0.01896895158913181,-0.05039585990950901,-0.21438246521364368,0.029805446386923357,-0.1758993418232846,0.43478260869565216,0.7391304347826086,0.6956521739130435,0.6521739130434783,0.6521739130434783,0
2020-04-06,BID,19.17,-0.08152019710415226,0.07035175879396993,0.1125943122460824,-0.2165917449938699,0.06160874982694198,-0.1649751278454875,-0.21343444815179413,0.04865237749143171,48.50901699986735,0.2572046699189643,1.4236977468950256,0.054136708016561785,-0.0430635209967416,-0.1735282239971283,0.03278333304101155,-0.1299092956274739,0.43478260869565216,0.6956521739130435,0.6956521739130435,0.8260869565217391,0.5217391304347826,0
2020-04-07,BID,19.32,-0.051750954599439014,0.00782472613458518,0.1970260223048328,-0.1515151515151515,0.08023483365949136,-0.15214815464958087,-0.21512265765568095,0.04679774539340143,49.345263176857934,0.16497101947390003,1.4122946128333682,0.06953832864977283,-0.045230216925868594,-0.1062849345892829,0.03055634953711093,-0.11331271849825209,0.391304347826087,0.782608695652174,0.6086956521739131,0.8695652173913043,0.6956521739130435,0
2020-04-08,BID,19.82,-0.08633162217612056,0.025879917184264967,0.23029174425822485,-0.10478771454381208,0.11542574145984585,-0.123761019302015,-0.21443539616435447,0.047092047628283965,52.135735873224945,-0.05666757793622068,1.4134242299722704,0.10125607794877478,0.0020540765009640083,-0.10684179104477609,0.030548532118681387,-0.10667645952385219,0.5652173913043478,0.7391304347826086,0.6521739130434783,0.9130434782608695,0.6086956521739131,0
2020-04-09,BID,19.69,-0.0681042259743716,-0.006559031281533789,0.17482100238663478,-0.0441747572815534,0.11095438259937374,-0.1222908698636852,-0.20995034190091533,0.04454657550931541,51.343775329982066,-0.12116261911780757,1.3939174834611952,0.05706671339614622,0.018708092290148026,-0.06288284957170143,0.030268952922117526,-0.08693461350385201,0.6086956521739131,0.5652173913043478,0.6086956521739131,0.782608695652174,0.2608695652173913,0
2020-04-10,BID,19.27,-0.05746355699144057,-0.02133062468258007,0.0759352317141262,0.005216484089723306,0.08695039061398302,-0.13464820103824238,-0.2038718542867919,0.04189580031539418,48.76639048586946,-0.21060595532861393,1.3720253323539187,-0.004059068656349973,0.019919116523912428,-0.014702632434189122,0.027984907672919508,-0.0853752719956904,0.6521739130434783,0.43478260869565216,0.6086956521739131,0.7391304347826086,0.391304347826087,0
2020-04-13,BID,19.4,-0.023366261618114947,0.006746237675142597,0.011997913406363914,0.06126914660831506,0.0908375270600803,-0.12290219907407418,-0.1959409360532407,0.04038106541597821,49.60956662829247,-0.27341783029001077,1.3577623962709813,-0.027418442209516503,0.05600515963044739,0.005263986977867674,0.027991999304599238,-0.0720767552070648,0.7391304347826086,0.391304347826087,0.5217391304347826,0.6956521739130435,0.30434782608695654,0
2020-04-14,BID,19.06,0.0029305930621517096,-0.017525773195876337,-0.01345755693581785,0.11266783420898996,0.06593590962474116,-0.13129876759279524,-0.18503427404652517,0.03761828390401203,47.4118557477799,-0.1321119160018377,1.3538178671250813,-0.04120668977541653,0.08652657782410511,0.026141256384884848,0.027636080549133774,-0.06647751546605452,0.7391304347826086,0.30434782608695654,0.391304347826087,0.391304347826087,0.4782608695652174,1
2020-04-15,BID,19.48,-0.029179790848306908,0.022035676810073568,-0.017154389505549927,0.10368271954674224,0.08387814716928643,-0.10486991204933305,-0.17414140114510468,0.0373802939465298,50.338564146895216,-0.1935458609919779,1.356919556445628,-0.05619077890690294,0.061525515009210885,0.042157204537531356,0.027723550366724706,-0.051037763378472656,0.8260869565217391,0.30434782608695654,0.34782608695652173,0.391304347826087,0.391304347826087,0
2020-04-16,BID,19.48,-0.029006427917451116,0.0,-0.01066531234129009,0.07982261640798227,0.07955332649837898,-0.0978557865975086,-0.1643356643356645,0.037193405048068284,50.338564146895216,-0.10089129340621172,1.3524775178495583,-0.03745631098661506,0.035631406499735174,0.0441912099082471,0.027727323029251797,-0.04339672948773976,0.6956521739130435,0.21739130434782608,0.391304347826087,0.34782608695652173,0.7391304347826086,0
2020-04-17,BID,19.53,-0.025756337767319115,0.002566735112936369,0.013492475350285416,0.11983944954128445,0.07609234668576792,-0.08857569535187593,-0.15302408064215034,0.036126355959754414,50.717247872725636,-0.15211918669817082,1.3261902181409233,-0.028278641096926682,0.03214625175634356,0.08769319778494089,0.02676075222646357,-0.028947115987692174,0.6956521739130435,0.08695652173913043,0.391304347826087,0.21739130434782608,0.17391304347826086,0
2020-04-20,BID,19.38,-0.017671695148571587,-0.007680491551459445,-0.0010309278350515427,0.1208791208791209,0.061714191798833085,-0.08909736975690474,-0.1420453477222735,0.03610696234967754,49.497838464464245,-0.011909692335949074,1.3246441758849092,-0.03913536900038417,0.0007771102553626452,0.12010201062375825,0.026002482950772014,-0.018824954728479337,0.5217391304347826,0.08695652173913043,0.34782608695652173,0.13043478260869565,0.4782608695652174,0
2020-04-21,BID,18.12,0.01899409324445278,-0.06501547987616085,-0.04931794333683093,0.12616532007458048,-0.012803050939798388,-0.14225664135724148,-0.13113248631965613,0.03563261221594406,40.65533270293024,0.6416271684024639,1.3444607348063737,-0.04857518522838833,-0.024226975039357557,0.15039229511393803,0.023017469628041434,-0.04969932260529408,0.391304347826087,0.08695652173913043,0.43478260869565216,0.08695652173913043,0.8260869565217391,1
2020-04-22,BID,18.91,-0.02386990256279309,0.043598233995584934,-0.029260780287474364,0.146060606060606,0.023517631457876442,-0.0983559658223987,-0.11907327586206895,0.03636174288394893,47.04315006912472,0.029552856703326302,1.3529120977080504,-0.01858169328508108,-0.0203658741202164,0.1664264801808224,0.022642333555024978,-0.043191042241351174,0.43478260869565216,0.34782608695652173,0.4782608695652174,0.34782608695652173,0.6521739130434783,0
2020-04-23,BID,18.91,-0.014812139426939597,0.0,-0.029260780287474364,0.09054209919261824,0.01918723725342253,-0.09175616222550953,-0.10885477704558999,0.03491360519786502,47.04315006912472,-0.407010655986908,1.3426340099493266,-0.020563457372141825,-0.03066036368315128,0.12120246287576952,0.020686314093469417,-0.03304062126493501,0.43478260869565216,0.34782608695652173,0.6086956521739131,0.30434782608695654,0.2608695652173913,0
2020-04-24,BID,18.8,0.04742825388145966,-0.005817028027498616,-0.03737839221710193,0.08108108108108114,0.009423071760315649,-0.09046927914852443,-0.09895984518626033,0.03499443829545945,46.23940560505299,-0.5454299769652117,1.3333549449687807,-0.020990347637567908,-0.03768701502816518,0.11876809610924632,0.02069320721257197,-0.02567058066099237,0.34782608695652173,0.30434782608695654,0.6521739130434783,0.21739130434782608,0.30434782608695654,1
2020-04-27,BID,18.33,0.021708327593931376,-0.025000000000000133,-0.05417956656346756,0.06384213580963416,-0.018710350919457164,-0.10648130093982777,-0.08944448777444158,0.03549441516193976,42.869196846231496,-0.07837074464629012,1.3442752035868808,-0.02373816625905345,-0.0434905653942852,0.10733270120391936,0.02090159689540176,-0.02899889013327217,0.17391304347826086,0.13043478260869565,0.6956521739130435,0.13043478260869565,0.6521739130434783,1
2020-04-28,BID,18.36,0.03519558844046289,0.0016366612111293755,0.013245033112582627,0.13754646840148688,-0.0229105132912909,-0.09750486639532818,-0.07634342004364991,0.03182810855670448,43.15400506157773,-0.5355450012921443,1.3559552830037895,0.012762533503798412,-0.02092603484497224,0.15847250324645912,0.016858589766309946,-0.029385993433006408,0.2608695652173913,0.17391304347826086,0.7391304347826086,0.13043478260869565,0.13043478260869565,1
2020-04-29,BID,18.59,0.002424583456805518,0.012527233115468439,-0.0169222633527234,0.15394165114835512,-0.017156150043617147,-0.07843467742735055,-0.06234818215167426,0.03178130017778729,45.40127851093564,-0.5228613734772172,1.3556495855253072,-0.01716936318105422,-0.006926535952606505,0.16086818710096162,0.016818978888189087,-0.023056382543333087,0.2608695652173913,0.17391304347826086,0.6956521739130435,0.21739130434782608,0.2608695652173913,1
2020-05-04,BID,18.44,0.02167865243985112,-0.008068854222700317,-0.024854574299312482,0.10023866348448696,-0.029397057662446935,-0.07823965768900076,-0.05032191630176153,0.030994642411157562,44.174748330422105,-0.4631605020153078,1.3541882848400324,-0.010072493695624796,-0.02066162024307583,0.12090028372756279,0.0165619989730626,-0.02738184105939312,0.2608695652173913,0.13043478260869565,0.5652173913043478,0.08695652173913043,0.30434782608695654,1
2020-05-05,BID,18.44,0.00380358953116966,0.0,-0.019148936170212738,0.029592406476828703,-0.030749014454664825,-0.07048018469417583,-0.0409916222237906,0.027172118498776085,44.174748330422105,-0.6330157923778157,1.3683314742215107,-0.0030543774186354566,-0.05926481780359305,0.08885722428042175,0.015411542204807529,-0.02088035177374481,0.17391304347826086,0.13043478260869565,0.43478260869565216,0.2608695652173913,0.21739130434782608,1
2020-05-06,BID,18.8,0.012863444704748872,0.019522776572667988,0.025641025641025772,-0.01930099113197714,-0.010864704180148843,-0.04554962126596662,-0.0350658976910424,0.022377848451075374,48.078966625800845,-0.33285988992892035,1.362263641726594,0.01030571160441296,-0.08152019710415226,0.06221920597217512,0.012153081390073392,0.006616277756583022,0.08695652173913043,0.17391304347826086,0.34782608695652173,0.13043478260869565,0.391304347826087,1
2020-05-07,BID,19.61,0.0035332056427066494,0.04308510638297869,0.06808278867102402,0.015010351966873614,0.03096577467010131,0.00021422232196588453,-0.029827908068020603,0.02438638290013266,55.602607666733704,1.2052162762073895,1.366944007127324,0.029853359961804937,-0.051750954599439014,0.06676130656631263,0.012384668738205151,0.027382330324043247,0.13043478260869565,0.5652173913043478,0.5217391304347826,0.5652173913043478,1.0,1
2020-05-08,BID,19.85,0.01872496156254777,0.012238653748087858,0.06777837547068333,0.0015136226034309086,0.04350111709817317,0.018314266659826828,-0.024136869645513648,0.0238394088216017,57.564715033846696,1.1360706954684625,1.345819251059116,0.009763267098668926,-0.08633162217612056,0.08784524477955147,0.013030542668060452,0.05215806640725518,0.043478260869565216,0.21739130434782608,0.43478260869565216,0.34782608695652173,0.6521739130434783,1
2020-05-11,BID,20.11,0.056288159980249164,0.013098236775818561,0.09056399132321036,0.021330624682579957,0.056003360726757156,0.03637356860885799,-0.018588759134620436,0.023944642111561006,59.6453945919892,0.013878994610994289,1.3395108423168578,0.004186822385416011,-0.0681042259743716,0.08943485065695156,0.013107479501175539,0.0729126756097429,0.13043478260869565,0.2608695652173913,0.391304347826087,0.30434782608695654,0.30434782608695654,1
2020-05-12,BID,20.13,0.04794048782040461,0.0009945300845350946,0.0916485900216919,0.04462895692786706,0.054672150472847125,0.04220597676393223,-0.011819951539751905,0.023345484417747017,59.80864416936435,0.354098881237048,1.3369203663538933,-0.001473269274790523,-0.05746355699144057,0.10209251391930763,0.013013378482948432,0.08373870391950367,0.13043478260869565,0.2608695652173913,0.391304347826087,0.34782608695652173,0.782608695652174,1
2020-05-13,BID,20.68,0.019781000831998963,0.02732240437158473,0.09999999999999987,0.06597938144329896,0.07986736638730063,0.07410716140693485,-0.005334178214530527,0.023989416007135375,64.10862424623556,1.098482162824633,1.3374991041561457,0.03403953538890092,-0.023366261618114947,0.0893456430614139,0.013020328753342721,0.08364771557277417,0.30434782608695654,0.5652173913043478,0.391304347826087,0.6086956521739131,0.9130434782608695,1
2020-05-14,BID,20.73,-0.021750560338143154,0.0024177949709864865,0.05711371749107608,0.08761804826862551,0.07777893313923245,0.07990123045186048,0.001969139725571001,0.023479565921591866,64.4806650806417,0.4912690539749558,1.3388523118295792,0.012094007244258576,0.0029305930621517096,0.0846874552064738,0.01309441200240813,0.08276012778754804,0.43478260869565216,0.6521739130434783,0.391304347826087,0.7391304347826086,0.9130434782608695,0
2020-05-15,BID,20.16,0.057068739373190125,-0.02749638205499283,0.015617128463476071,0.03490759753593431,0.046294374091758295,0.05496713693640887,0.008289027504500446,0.02413279454213949,57.201263766508845,0.3860594978330347,1.3460478904655717,-0.0007273592658689765,-0.029179790848306908,0.06408738838424122,0.013133620026954415,0.07755734038788575,0.30434782608695654,0.34782608695652173,0.43478260869565216,0.5652173913043478,1.0,1
2020-05-18,BID,20.32,0.031014620188640984,0.007936507936507908,0.01044256588761816,0.04312114989733051,0.05230450543759724,0.06756330776505193,0.014500367762950273,0.024163469433615116,58.61364878969216,0.3217293778647885,1.344127705635035,-3.634952049202944e-05,-0.029006427917451116,0.07212757781478163,0.013281505194178674,0.09205054111305877,0.34782608695652173,0.391304347826087,0.43478260869565216,0.4782608695652174,0.8695652173913043,1
